STT,Tinh_TP_Cu,Xa_Phuong_Truoc_Sap_Nhap,Xa_Phuong_Moi_TPHCM,Latitude,Longitude
151,Bà Rịa - Vũng Tàu,"Thị trấn Phước Hải, Xã Phước Hội",Xã Phước Hải,10.4257988,107.2921241
152,Bà Rịa - Vũng Tàu,"Thị trấn Đất Đỏ, Xã Long Tân (huyện Long Đất), Xã Láng Dài, Xã Phước Long Thọ",Xã Đất Đỏ,10.4899209,107.2696605
153,Bà Rịa - Vũng Tàu,"Các xã Đá Bạc, Nghĩa Thành",Xã Nghĩa Thành,10.5832288,107.2636989
154,Bà Rịa - Vũng Tàu,"Thị trấn Ngãi Giao, Xã Bình Ba, Xã Suối Nghệ",Xã Ngãi Giao,10.6471352,107.2457958
155,Bà Rịa - Vũng Tàu,"Thị trấn Kim Long, Xã Bàu Chinh, Xã Láng Lớn",Xã Kim Long,10.6991979,107.2455432
156,Bà Rịa - Vũng Tàu,"Các xã Cù Bị, Xà Bang",Xã Châu Đức,10.7278326,107.2134175
157,Bà Rịa - Vũng Tàu,"Các xã Bình Trung, Quảng Thành, Bình Giã",Xã Bình Giã,10.6791217,107.287064
158,Bà Rịa - Vũng Tàu,"Các xã Suối Rao, Xã Sơn Bình, Xã Xuân Sơn",Xã Xuân Sơn,10.6172513,107.3324779
159,Bà Rịa - Vũng Tàu,"Thị trấn Phước Bửu, Xã Phước Tân, Xã Phước Thuận",Xã Hồ Tràm,10.5250085,107.396897
160,Bà Rịa - Vũng Tàu,"Các xã Bông Trang, Xã Bưng Riềng, Xã Xuyên Mộc",Xã Xuyên Mộc,10.5498373,107.4597728
161,Bà Rịa - Vũng Tàu,"Các xã Hòa Hưng, Hòa Bình, Hòa Hội",Xã Hòa Hội,10.6267656,107.4259831
162,Bà Rịa - Vũng Tàu,"Các xã Tân Lâm, Bàu Lâm",Xã Bàu Lâm,10.737198,107.4182504
163,Bà Rịa - Vũng Tàu,Huyện Côn Đảo,Đặc khu Côn Đảo,8.6855081,106.6067254
164,Bà Rịa - Vũng Tàu,Không sáp nhập,Xã Bình Châu,10.5787466,107.5399664
165,Bà Rịa - Vũng Tàu,Không sáp nhập,Xã Hòa Hiệp,10.7080104,107.4954911
166,Bà Rịa - Vũng Tàu,Không sáp nhập,Xã Long Sơn,10.4487271,107.1028066
167,TP.HCM,Không sáp nhập,Xã Thạnh An,10.5384704,106.9766016
168,Bình Dương,Không sáp nhập,Phường Thới Hòa,11.1038232,106.6272696
